source,url,business_name,phone,address,brokerage,email,website_link,notes,needs_update
eXp Primary Website,https://carriebilleaud.exprealty.com,Carrie Billeaud,337-258-5379,"110 Marais Avenue, Youngsville, LA 70592",eXp Realty,"",https://carriebilleaud.exprealty.com,Address differs from other sources; generic bio,VERIFY
eXp Agent Profile,https://carriebilleaud.exprealty.com/agents.php,Carrie Billeaud,337-258-5379,"eXp Realty Lafayette office",eXp Realty,"",https://carriebilleaud.exprealty.com,Generic office address only,VERIFY
Zillow Individual,https://www.zillow.com/profile/carriebilleaud,Carrie Billeaud,(337) 258-5379,"1318 Camellia Blvd. Ste 222, Lafayette, LA 70508",EXP Realty,carriebilleaud@gmail.com,https://carriebilleaud.exprealty.com,Strong profile with 29 reviews 5.0 rating; 11 years experience,VERIFY
Zillow Team,https://www.zillow.com/profile/carriebilleaudteam,Carrie Billeaud Team,(337) 258-5379,"91 Settlers Trace Blvd Bldg1, Lafayette, LA 70508",Exp Realty llc,carrie.billeaud@exprealty.com,https://carriebilleaud.exprealty.com,Team profile with 4 members; 5.0 rating; multiple addresses,VERIFY
Realtor.com,https://www.realtor.com/realestateagents/567985a6bb954c0100686dd4,Carrie Billeaud,(337) 258-5379,"1720 Kaliste Saloom Ste B 2, Lafayette, LA 70508",EXP Realty LLC,"",https://carriebilleaud.exprealty.com,License 0995689513; 2 reviews; strong bio,VERIFY
Homes.com,https://www.homes.com/real-estate-agents/carrie-billeaud/pf5j8yv/,Carrie Billeaud,(337) 341-8976,"",EXP Realty LLC,"",https://carriebilleaud.exprealty.com,"PHONE CONFLICT 341-8976 not 258-5379; License 09956895; Strong Icon Agent bio; 46 families; $10.5M; #45/1900",VERIFY
Nextdoor,https://nextdoor.com/pages/carrie-billeaud-realtor-exp-realty-lafayette-la/,Carrie Billeaud-Realtor EXP Realty,337-258-5379,"3 Flagg Place Building B, Suite B-4, Lafayette, LA 70508",eXp Realty,southerncollectivegroup.info@gmail.com,https://carriebilleaud.exprealty.com,6 faves; 2x ICON Agent; alternate email; matches one known address conflict,VERIFY
LoopNet,https://www.loopnet.com/commercial-real-estate-brokers/profile/carrie-billeaud/bh92wrcb,Carrie Billeaud,(337) 522-7554,"Lafayette, LA 70508",eXp Realty,"",,"PHONE CONFLICT 522-7554 matches known conflict; partial address only; strong bio with production stats",VERIFY
LinkedIn,https://www.linkedin.com/in/carrie-billeaud-921ab6a1,Carrie Billeaud,BLOCKED,BLOCKED,eXp Realty Acadiana,BLOCKED,,BLOCKED by firecrawl; search snippet available only,
Facebook,https://www.facebook.com/carriebilleaud/,Carrie Billeaud,337-258-5379,BLOCKED,eXp Realty,carriebilleaud@gmail.com,,BLOCKED by firecrawl; search shows 5550 likes; 3x ICON Agent,
Instagram,https://www.instagram.com/carriebilleaud_realtor/,Carrie Billeaud,BLOCKED,BLOCKED,eXp Realty,BLOCKED,,NOT SUPPORTED by firecrawl,
Google Business Profile,https://share.google/kcBY0AQWmnVjNLAy4,"Carrie Billeaud Realtor | Acadiana & Surrounding Area | eXp Realty",(337) 258-5379,"3 Flagg Place, 4 building b suite b, Lafayette, LA 70508",eXp Realty,"","https://carriebilleaud.exprealty.com/?fbclid=IwAR1...","EXISTS — verified 2026-07-08 via client-supplied share link; 185 reviews 5.0 rating; address matches Nextdoor variant; phone matches primary; name is keyword/area-decorated (real-world-name policy risk); website link carries fbclid artifact instead of clean UTM",VERIFY
Facebook (BUSINESS page),https://www.facebook.com/carriebilleaudrealty,Carrie Billeaud,BLOCKED,BLOCKED,eXp Realty,BLOCKED,,"SECOND FACEBOOK PAGE, separate from facebook.com/carriebilleaud (5550 likes); linked from Carrie's own TikTok/Instagram as 'my Facebook Page'; ~2500 followers per client observation 2026-07-08; category/phone BLOCKED — no snippet surfaced them; cross-promoted with lender Aimee Power (Approved Mortgage Now) giveaways; which FB page is canonical is a new open question",VERIFY
TikTok,https://www.tiktok.com/@carriebilleaud_realtor,Carrie Billeaud,BLOCKED (337-258-5379 shown in cross-posted content),BLOCKED,eXp Realty,BLOCKED,,"701 likes / 311 followers per search snippet; scrape unsupported by firecrawl; active listing/event/lender-giveaway content; was on Homes.com social links but missed in first-pass inventory",VERIFY
