# EXTERNAL UNVERIFIED INPUT (third-party AI sweep, 2026-07-11). Every row is [portal-shown] or [agent-submitted],
# NOT independently verified. See reports/18_production_throughput.md for triangulation + caveats. Do NOT treat
# any figure here as marketing-safe; MLS production is private and only Carrie's own export is authoritative.
observed_at,entity,entity_type,source_class,source,calendar_period,geographic_basis,geography,metric_scope,sides_or_sales,volume_usd,all_area_12m_sales,market_history_sales,market_3yr_sales,market_share_sides_pct,market_share_volume_pct,confidence,source_url,notes
2026-07-11,Arla Slaughter,individual,verified_submission,RealTrends Verified,2025,agent_physical_location,"Lafayette, LA",residential_sides,56.2,23680000,,,,,,high,https://www.realtrends.com/ranking/best-real-estate-agents-louisiana/individuals-by-volume/?page=-9,"State volume rank 16; location is the agent office/physical location, not the properties sold"
2026-07-11,Sean Hettich,individual,verified_submission,RealTrends Verified,2025,agent_physical_location,"Lafayette, LA",residential_sides,68,22180000,,,,,,high,https://www.realtrends.com/ranking/best-real-estate-agents-louisiana/individuals-by-volume/?page=-9,"State volume rank 18; residential only"
2026-07-11,Stephen Hundley,individual,verified_submission,RealTrends Verified,2025,agent_physical_location,"Lafayette, LA",residential_sides,66,18890000,,,,,,high,https://www.realtrends.com/ranking/best-real-estate-agents-louisiana/individuals-by-volume/?page=-9,"State volume rank 27; residential only"
2026-07-11,Caitlin Hebert,individual,verified_submission,RealTrends Verified,2025,agent_physical_location,"Broussard, LA",residential_sides,53,17820000,,,,,,high,https://www.realtrends.com/ranking/best-real-estate-agents-louisiana/individuals-by-volume/?page=-9,"State volume rank 37; property locations are not disclosed"
2026-07-11,Lindsey Reed,individual,verified_submission,RealTrends Verified,2025,agent_physical_location,"Arnaudville, LA",residential_sides,58,17720000,,,,,,high,https://www.realtrends.com/ranking/best-real-estate-agents-louisiana/individuals-by-volume/?page=-9,"State volume rank 38; adjacent Acadiana context"
2026-07-11,Charlie Baudoin,individual,verified_submission,RealTrends Verified,2025,agent_physical_location,"Lafayette, LA",residential_sides,24,16030000,,,,,,high,https://www.realtrends.com/agent-profile/charlie-baudoin-louisiana/,"High price-point mix; state volume rank 49"
2026-07-11,Brandon Landry,individual,verified_submission,RealTrends Verified,2025,agent_physical_location,"Lafayette, LA",residential_sides,26,8770000,,,,,,high,https://www.realtrends.com/agent-profile/brandon-landry-louisiana/,"Direct 2026 profile based on 2025 sales"
2026-07-11,Alicia Rhodes,individual,verified_submission,RealTrends Verified,2025,agent_physical_location,"Lafayette, LA",residential_sides,34,4770000,,,,,,high,https://www.realtrends.com/agent-profile/alicia-rhodes-louisiana/,"Direct 2026 profile based on 2025 sales"
2026-07-11,Destinee Allanson,individual,authoritative_profile,NAR 30 Under 30,2025,reported_production,all_markets,individual_sides,44,6900000,,,,,,moderate_high,https://www.nar.realtor/news/30-under-30/destinee-allanson,"NAR profile explicitly separates individual from team production"
2026-07-11,The TK Group,team,verified_submission,RealTrends Verified,2025,team_physical_location,"Lafayette, LA",team_residential_sides,162,31970000,,,,,,high,https://www.realtrends.com/team-profile/the-tk-group-louisiana-exp-realty/,"Mega team; do not compare directly with an individual"
