captured_at_cdt,source,market,query,top_result_name,top_result_url,top_result_class,highest_relevant_owned_result,owned_rank,portal_directory_slots_top10,wrong_market_slots_top10,notes
"2026-07-11 19:35-19:55","neutral_web_index","Lafayette","Lafayette LA realtor","Zillow Lafayette agent reviews","https://www.zillow.com/professionals/real-estate-agent-reviews/lafayette-la/","portal/directory","Avenue Real Estate","7","8","0","Broad discovery is portal-led; owned results begin below six portal/editorial results."
"2026-07-11 19:35-19:55","neutral_web_index","Lafayette","best realtor Lafayette LA","Zillow Lafayette agent reviews","https://www.zillow.com/professionals/real-estate-agent-reviews/lafayette-la/","portal/directory","","","10","0","No local-owned domain appeared in this top ten."
"2026-07-11 19:35-19:55","neutral_web_index","Lafayette","real estate agent Lafayette LA","Zillow Lafayette agent reviews","https://www.zillow.com/professionals/real-estate-agent-reviews/lafayette-la/","portal/directory","Guidry & Company","7","7","0","Trahan Group and Allanson also appeared at ranks 9 and 10."
"2026-07-11 19:35-19:55","neutral_web_index","Lafayette","listing agent Lafayette LA","Brice Trahan Zillow profile","https://www.zillow.com/profile/Brice%20Trahan%20/","portal/agent-profile","Guidry & Company","5","7","0","Brice and Guidry each occupied duplicate or multiple slots."
"2026-07-11 19:35-19:55","neutral_web_index","Lafayette","buyer's agent Lafayette LA","Lindsey Fitzgerald Realtor.com profile","https://www.realtor.com/realestateagents/5755da3e6c661a010052f495","portal/agent-profile","Michael Carr","6","8","0","The first owned site was Michael Carr; Emily Nealy followed at rank 8."
"2026-07-11 19:35-19:55","neutral_web_index","Lafayette","first-time home buyer realtor Lafayette LA","The Allanson Team","https://allansonrealestate.com/","team-owned","The Allanson Team","1","7","0","Owned niche positioning beat portals for the first result."
"2026-07-11 19:35-19:55","neutral_web_index","Lafayette","sell my house Lafayette LA","Acadiana Buyers","https://www.acadianabuyers.com/","cash-buyer-owned","Acadiana Buyers (not a Realtor)","1","1","0","Nine of ten results were cash buyers; no conventional Realtor-owned result appeared."
"2026-07-11 19:35-19:55","neutral_web_index","Lafayette","luxury realtor Lafayette LA","Trahan Group","https://www.trahangroup.com/","brokerage-owned","Trahan Group","1","3","1","SoLux, Paige Gary, Avenue and Sean Hettich also appeared; one result was Lafayette, California."
"2026-07-11 19:35-19:55","neutral_web_index","Lafayette","new construction realtor Lafayette LA","Brandon Landry Zillow profile","https://www.zillow.com/profile/Brandon%20Landry","portal/agent-profile","Jessica Broussard","9","9","0","Agent portal profiles controlled the query; Jessica was the only owned-domain result."
"2026-07-11 19:35-19:55","neutral_web_index","Lafayette","realtor near me Lafayette LA","Zillow Lafayette agent reviews","https://www.zillow.com/professionals/real-estate-agent-reviews/lafayette-la/","portal/directory","","","10","0","Least reliable proxy because search-tool geolocation was not exposed."
"2026-07-11 19:35-19:55","neutral_web_index","Youngsville","Youngsville LA realtor","Zillow Youngsville agent directory","https://www.zillow.com/professionals/real-estate-agent-reviews/youngsville-la/","portal/directory","","","9","0","The remaining slot was a Chamber directory entry, not an agent-owned site."
"2026-07-11 19:35-19:55","neutral_web_index","Youngsville","best realtor Youngsville LA","Zillow Youngsville agent directory","https://www.zillow.com/professionals/real-estate-agent-reviews/youngsville-la/","portal/directory","","","10","0","No local-owned domain appeared in this top ten."
"2026-07-11 19:35-19:55","neutral_web_index","Youngsville","Youngsville homes for sale realtor","Realtor.com Youngsville NC homes","https://www.realtor.com/realestateandhomes-search/Youngsville_NC","wrong-market/portal","","","10","8","North Carolina displaced Louisiana in eight of ten slots."
"2026-07-11 19:35-19:55","neutral_web_index","Broussard","Broussard LA realtor","Realtor.com Broussard agents","https://www.realtor.com/realestateagents/broussard_la","portal/directory","","","7","5","Several results matched Broussard as a surname or business name rather than the target city."
"2026-07-11 19:35-19:55","neutral_web_index","Broussard","best realtor Broussard LA","Realtor.com Broussard agents","https://www.realtor.com/realestateagents/broussard_la","portal/directory","","","9","4","No clearly relevant local-owned site appeared."
"2026-07-11 19:35-19:55","neutral_web_index","Broussard","Broussard homes for sale realtor","Realtor.com Explore Broussard","https://www.realtor.com/realestateandhomes-search/Broussard_LA/explore","portal","","","10","0","Portal pages and faceted portal URLs occupied all ten slots."
"2026-07-11 19:35-19:55","neutral_web_index","Maurice","Maurice LA realtor","Realtor.com Maurice agents","https://www.realtor.com/realestateagents/maurice_la","portal/directory","","","10","2","Name collisions with people named Maurice contaminated the result set."
