rank,agent_name,markets_seen,serp_appearances,best_position,primary_url,site_type,google_reviews,other_reviews,area_pages,schema_markup,ranking_driver_guess
1,"Robbie Breaux Team","Lafayette LA — buyer intent; Lafayette LA — seller intent; Youngsville LA; Scott LA; Maurice LA",13,2,"https://www.lafayettehomepros.com/","custom domain","unknown","BirdEye: 286 reviews (5.0 stars); Facebook: 78 reviews (98% recommend); Zillow: reviews available","25-35+ (11 new construction price-range pages, similar regular home pages, community pages, buyer/seller category pages, featured listings)","Schema types found (likely LocalBusiness) but not in JSON-LD format; exact implementation not checked","Extensive on-site architecture with 25-35+ area/price-segmented landing pages covering Lafayette, Youngsville, Scott, Maurice markets; integrated IDX search paired with lead-capture tools (free mortgage calculator, pre-approval, personalized search); strong local business signals (physical address, dual phone numbers, broker affiliation); substantial social proof across multiple platforms (286 BirdEye 5-star reviews, 78 Facebook reviews); comprehensive buyer/seller guides with clear conversion pathways"
2,"Tassie Fonseca","Lafayette LA; Lafayette LA — seller intent; Lafayette LA — relocation; Youngsville LA; Carencro LA; Scott LA; Maurice LA; Acadiana",12,2,"https://www.realtor.com/realestateagents/5744b6ba0b48980100abb5d0","portal-only","unknown","Zillow: 0 reviews (shows ""No reviews yet""); RateMyAgent: 0 reviews","4 confirmed (Lafayette, Youngsville, Carencro, Scott via US News; also Acadiana/Maurice)","not checked","High transaction volume (90+ closings in 12 months per US News; 24 sales in past 12 months per Zillow) paired with established presence across all major real estate portals (Realtor.com, Zillow, Homes.com, US News) and Managing Broker title create strong authority signals that drive rankings in Lafayette area and surrounding communities."
3,"Jessica Broussard","Lafayette LA; Lafayette LA — seller intent; Youngsville LA; Broussard LA",11,1,"https://therealjessicabroussard.com/","Custom domain (agent-owned, not brokerage-hosted)","Unknown (GBP listing not directly identified; Zillow shows 6 reviews at 5.0 stars)","FastExpert: 6 reviews (5/5 rating); BirdEye: 4 reviews (mentioned in search results); Zillow: 6 reviews (5.0 stars)","6+ dedicated area pages in navigation: Youngsville, River Ranch, Scott, Lafayette, Broussard, plus search filters for multiple regions","Not checked (rawHtml file too large to fully parse; initial scan found no JSON-LD schema types)","Combination of high-volume sales credibility ($25M annually, 82+ recent transactions), strong multi-area geographic coverage with dedicated landing pages, and aggressive lead-capture infrastructure (valuation tools + forms). The residential styling niche and new-construction specialization appear to differentiate her within the market, helping her rank for both buyer and seller-intent queries across the Lafayette/Acadiana region."
4,"Cassidy Stoma","Lafayette LA; Lafayette LA — seller intent; Lafayette LA — relocation; Youngsville LA; Carencro LA; Maurice LA; Acadiana",11,2,"https://www.zillow.com/profile/cassidyjostoma","Portal-only (Zillow, Realtor.com, US News); no custom domain","Unknown (GBP not located in search results)","n/a — Zillow/Realtor.com profile only, no other-platform review counts found","11+ communities: Branch, Church Point, Crowley, Duson, Egan, Estherwood, Iota, Mermentau, Morse, Rayne, Scott, plus active listings in Lafayette, Maurice, Carencro, Youngsville, Broussard, New Iberia","JSON-LD on Zillow: LocalBusiness (name, phone, address, URL), BreadcrumbList; Realtor.com likely includes agent/professional schema","High listing velocity (33-40 active/recent sales) combined with multi-area service coverage matching SERP query intents (Lafayette, Youngsville, Carencro, Maurice) drive rankings. Strong portal authority (Zillow, Realtor.com indexed listings with schema) plus established local brokerage affiliation reinforce area relevance for buyer/seller intent queries."
5,"James Keaty","Lafayette LA; Lafayette LA — seller intent; Lafayette LA — relocation; Youngsville LA; Carencro LA; Scott LA; Acadiana",11,2,"https://www.keatyrealestate.com","Custom domain / brokerage-hosted (Keaty Real Estate, LLC established 2004)","Over 600 (5.0 stars)","BBB profile present with 3 complaints but firm maintains ""over 600, 5 star reviews on Google""; Zillow profile shows client testimonials (e.g., Jason Ray team reviews)","10+ pages including 2 city pages (Lafayette, Youngsville) and 8+ neighborhood pages (Sonoma Gardens, River Ranch, The Woodlands Of Acadiana, Duson, Arnaudville, Sunset, Abita Springs, Slidell)","None detected (no JSON-LD schema types found)","Extensive topical authority built through 10+ dedicated area/neighborhood landing pages combined with dominant local review authority (600+ 5-star Google reviews) and consistent video content velocity creates strong local SEO dominance. Established 20+ year brand with large multi-agent team across two locations (Lafayette, Covington) reinforces Acadiana-region authority."
6,"Keaty Real Estate","Lafayette LA; Lafayette LA — buyer intent; Lafayette LA — seller intent; Lafayette LA — relocation; Youngsville LA; Scott LA; Acadiana",11,2,"https://www.keatyrealestate.com/","Custom domain with brokerage-hosted IDX integration","600+ (5-star, per BBB profile mention)","Facebook: 96% recommend (230 reviews); Zillow: Active profile with reviews; BBB: Listed with positive reputation noting 600+ Google reviews","15+ dedicated community guide pages covering Lafayette metro area and surrounding communities (Abbeville, Broussard, Duson, Slidell, Lafayette, Mandeville, Youngsville, Lacombe, Scott, Abita Springs, River Ranch, Sunset, Arnaudville, New Iberia, Breaux Bridge, etc.)","Not detected in rawHtml inspection","Extensive hyperlocal community guide pages (15+ neighborhoods) targeting long-tail geographic keywords + exceptional review portfolio across multiple platforms (600+ Google, 230 Facebook, active Zillow) + daily video content production providing fresh, indexable property media + real-time IDX integration keeping content constantly updated"
7,"Sean Hettich","Lafayette LA; Lafayette LA — buyer intent; Lafayette LA — seller intent; Youngsville LA; Acadiana",10,1,"https://topagent337.com/","custom domain","unknown","Zillow 353 reviews (exact rating unknown from scrape, but homepage claims ""350+ 5-star reviews""); Realtor.com profile also present with reviews","Multiple (references to Lafayette, Broussard, Youngsville, Acadiana in navigation and content; exact count unclear from scrape but sitemap likely contains 4-6 dedicated area pages)","not checked - HTML too large to fully parse, no obvious JSON-LD schema detected in sample","Strong review aggregation (350+ Zillow reviews, 353+ on Zillow profile, claimed on homepage) combined with custom domain authority, sustained top-producer messaging (5+ years of data), and deep area-specific content targeting Lafayette/Broussard/Youngsville micromarkets likely drive SERP rankings for buyer/seller intent queries. Portal presence on Zillow/Realtor.com reinforces E-A-T signals."
8,"Mary & Tim McCubbin","Lafayette LA; Lafayette LA — seller intent; Lafayette LA — relocation; Scott LA; Acadiana",9,2,"https://www.southlouisianahomesales.com","Custom domain website (Market Leader platform) with strong third-party profile presence (Zillow, US News)","unknown (not found; Zillow shows 95 reviews at 5.0 rating for the team)","Zillow: 95 reviews, 5.0 rating (team aggregate); individual agents range 4.9–5.0 (Jon Bourgoyne 5.0 with 15 reviews, Jennifer Duhon 5.0 with 10 reviews, Vickie Charlet 5.0 with 12 reviews)","3 dedicated area pages on own site (Houma, Lafayette, Thibodaux); serves 35 geographic areas listed on Zillow","None detected on homepage (rawHtml scrape showed no JSON-LD)","High-volume Zillow presence (95 five-star reviews, 260 recent sales, 5,291 lifetime sales) paired with multi-MLS participation (Bayou, Acadiana, Baton Rouge, New Orleans boards) creates geographic authority; own-domain site with area-specific IDX pages and live market data targets local search intent while redirecting traffic to Zillow team profile for conversion."
9,"Robert Hillard","Lafayette LA; Lafayette LA — seller intent; Lafayette LA — relocation; Carencro LA; Acadiana",9,2,"https://www.homes.com/real-estate-agents/robert-hillard/sgtsen7/","broker-hosted / Keller Williams Realty Acadiana","unknown","Zillow: 5-star rating (limited visible reviews); presence on Realtor.com and Zillow profiles","6 dedicated area pages (North Lafayette Parish, Central Lafayette Parish, Larabee, Evangeline, Heymann Park, Mouton)","og: meta tags present for social sharing; JSON-LD not explicitly confirmed","Strong transaction volume (263 deals, $50.8M total, 70 sales/year averaging $193K) combined with consistent portal authority on Homes.com and Zillow, multiple area-specific landing pages across Acadiana communities, and established Keller Williams brand credibility drive rankings across Lafayette, Carencro, and broader Acadiana market searches."
10,"Kris Bourque","Lafayette LA; Lafayette LA — buyer intent; Lafayette LA — seller intent; Carencro LA; Acadiana",8,1,"https://www.thekrisbourqueway.com/","Custom domain (Wix-hosted)","unknown","Zillow: Multiple positive reviews (exact count not visible); FastExpert: 2 reviews, 5/5 rating; Facebook: 1,689 likes, 62 talking about this","4+ communities mentioned across site content; no dedicated location landing pages detected","Not checked (rawHtml extraction too large to process; standard og: tags present in metadata but JSON-LD schema types not confirmed)","Kris Bourque ranks well due to strong personal branding differentiation (""The Kris Bourque Way""), consistent multi-platform presence (Zillow, FastExpert, Facebook, eXp Realty), educational lead-capture content (free guides and valuation tools), and honest, conversational brand positioning that stands out against generic agent competitors. Local search optimization through verified custom domain, proper SEO title/description tags with location keywords, and trust signals across multiple review platforms amplify visibility in Lafayette-area buyer/seller intent searches."
